race_id,timestamp,lap_number,source
1,1776628988.981,2,obstacle
1,1776628993.695,3,obstacle
1,1776629036.829,1,obstacle
1,1776629040.815,2,obstacle
1,1776629045.856,1,wall
2,1776629098.819,1,wall
2,1776629100.583,2,obstacle
2,1776629113.428,3,wall
2,1776629123.129,3,obstacle
2,1776629138.086,2,obstacle
3,1776629202.114,1,obstacle
3,1776629244.761,2,obstacle
3,1776629247.855,3,obstacle
3,1776629248.431,3,obstacle
3,1776629253.418,1,wall
3,1776629259.096,3,obstacle
3,1776629259.459,3,wall
4,1776629328.447,1,obstacle
4,1776629355.789,3,obstacle
4,1776629366.064,2,obstacle
5,1776629428.137,1,obstacle
5,1776629444.669,1,obstacle
5,1776629470.853,2,obstacle
6,1776629568.131,3,wall
6,1776629599.556,1,obstacle
7,1776629660.669,3,wall
7,1776629661.563,1,obstacle
7,1776629699.764,2,obstacle
7,1776629726.328,1,wall
8,1776629800.675,2,wall
8,1776629807.135,2,wall
8,1776629807.426,2,obstacle
8,1776629815.119,3,wall
8,1776629829.687,3,obstacle
8,1776629830.012,2,obstacle
8,1776629840.696,1,obstacle
9,1776629884.818,3,obstacle
9,1776629890.681,2,wall
9,1776629905.457,1,obstacle
9,1776629908.57,3,wall
9,1776629913.065,3,wall
9,1776629931.246,2,wall
10,1776630030.742,1,obstacle
10,1776630055.442,2,wall
10,1776630068.98,3,obstacle
11,1776630137.212,3,obstacle
11,1776630142.664,3,wall
11,1776630149.489,1,obstacle
11,1776630156.449,2,wall
11,1776630158.09,1,obstacle
11,1776630166.17,3,wall
11,1776630170.514,3,wall
11,1776630172.992,2,obstacle
12,1776630265.037,1,obstacle
12,1776630300.851,1,obstacle
12,1776630301.514,2,obstacle
13,1776630392.979,2,wall
13,1776630400.381,1,obstacle
13,1776630412.46,1,obstacle
14,1776630494.185,2,obstacle
14,1776630496.873,1,wall
15,1776630615.078,2,wall
15,1776630632.236,1,obstacle
15,1776630634.004,3,obstacle
15,1776630635.676,1,obstacle
16,1776630700.747,1,obstacle
16,1776630730.961,1,obstacle
16,1776630743.038,2,obstacle
16,1776630746.85,1,obstacle
16,1776630764.048,3,wall
16,1776630766.815,1,obstacle
17,1776630829.05,2,obstacle
17,1776630833.734,2,wall
17,1776630860.582,2,obstacle
17,1776630860.848,2,obstacle
18,1776630946.781,1,obstacle
18,1776630949.113,3,obstacle
18,1776630967.976,3,wall
18,1776630977.08,2,obstacle
19,1776631042.745,3,wall
19,1776631054.953,1,obstacle
19,1776631057.393,3,obstacle
19,1776631062.261,1,obstacle
19,1776631084.172,1,obstacle
19,1776631089.121,3,obstacle
19,1776631090.78,2,obstacle
19,1776631111.929,1,obstacle
19,1776631114.438,1,wall
20,1776631168.612,2,obstacle
20,1776631185.092,2,obstacle
20,1776631205.171,1,wall
20,1776631223.461,2,wall
20,1776631236.188,2,obstacle
21,1776631286.521,2,obstacle
21,1776631298.622,2,obstacle
21,1776631300.031,3,wall
21,1776631308.724,3,wall
21,1776631356.869,3,wall
22,1776631402.231,2,wall
22,1776631449.181,2,obstacle
22,1776631459.769,2,obstacle
22,1776631465.944,3,obstacle
23,1776631507.685,3,obstacle
23,1776631542.441,3,obstacle
23,1776631567.94,1,wall
23,1776631569.14,1,wall
23,1776631575.272,3,obstacle
23,1776631586.767,1,obstacle
24,1776631643.184,2,obstacle
24,1776631646.074,3,wall
24,1776631682.448,1,wall
25,1776631746.797,2,obstacle
25,1776631765.487,3,wall
25,1776631780.699,2,obstacle
25,1776631782.761,2,wall
25,1776631819.761,3,obstacle
26,1776631885.857,3,obstacle
26,1776631887.367,2,obstacle
26,1776631907.965,2,wall
26,1776631911.118,3,wall
26,1776631911.406,2,obstacle
26,1776631922.721,2,wall
26,1776631924.126,3,wall
26,1776631930.947,2,obstacle
26,1776631937.421,2,obstacle
27,1776631996.645,3,wall
27,1776631996.95,3,obstacle
27,1776632026.777,2,obstacle
27,1776632051.038,2,obstacle
28,1776632130.605,3,wall
28,1776632136.496,2,obstacle
28,1776632141.338,2,obstacle
28,1776632152.968,1,obstacle
28,1776632166.374,1,wall
29,1776632217.681,3,obstacle
29,1776632218.326,1,obstacle
29,1776632233.374,2,obstacle
29,1776632240.608,2,obstacle
29,1776632244.763,3,wall
29,1776632248.421,2,wall
29,1776632264.291,1,obstacle
30,1776632323.909,1,obstacle
30,1776632337.286,3,obstacle
30,1776632354.974,2,obstacle
30,1776632371.203,2,obstacle
31,1776632439.579,1,obstacle
31,1776632443.292,1,obstacle
31,1776632446.307,3,obstacle
31,1776632458.763,3,wall
31,1776632473.351,1,obstacle
31,1776632483.043,1,obstacle
31,1776632495.97,1,obstacle
31,1776632496.506,2,obstacle
31,1776632498.457,2,obstacle
32,1776632556.247,2,obstacle
32,1776632556.454,1,obstacle
32,1776632561.001,2,wall
32,1776632587.493,2,wall
32,1776632590.124,2,obstacle
32,1776632603.101,1,obstacle
32,1776632609.147,1,obstacle
33,1776632706.132,2,obstacle
33,1776632733.044,1,obstacle
33,1776632739.382,3,wall
34,1776632794.825,1,obstacle
34,1776632835.861,3,obstacle
34,1776632846.7,1,obstacle
35,1776632908.717,3,obstacle
35,1776632930.026,2,obstacle
35,1776632937.9,2,obstacle
35,1776632952.658,2,obstacle
35,1776632969.731,1,wall
35,1776632979.837,3,obstacle
36,1776635364.423,1,wall
36,1776635364.523,1,wall
36,1776635364.624,1,wall
36,1776635364.691,1,wall
36,1776635364.791,1,wall
36,1776635364.857,1,wall
36,1776635365.609,1,wall
36,1776635365.744,1,wall
36,1776635367.078,1,wall
36,1776635367.177,1,wall
36,1776635367.243,1,wall
36,1776635367.276,1,wall
36,1776635367.326,1,wall
36,1776635367.36,1,wall
36,1776635367.393,1,wall
36,1776635367.426,1,wall
36,1776635367.46,1,wall
36,1776635367.493,1,wall
36,1776635367.527,1,wall
36,1776635367.594,1,wall
36,1776635367.627,1,wall
36,1776635367.66,1,wall
36,1776635367.694,1,wall
36,1776635367.727,1,wall
36,1776635367.76,1,wall
36,1776635367.793,1,wall
36,1776635367.826,1,wall
36,1776635367.876,1,wall
36,1776635367.909,1,wall
36,1776635368.008,1,wall
36,1776635368.091,1,wall
36,1776635368.124,1,wall
36,1776635368.174,1,wall
36,1776635368.223,1,wall
36,1776635368.273,1,wall
36,1776635368.324,1,wall
36,1776635368.439,1,wall
36,1776635368.49,1,wall
36,1776635368.539,1,wall
36,1776635369.475,1,wall
36,1776635369.557,1,wall
36,1776635369.757,1,wall
36,1776635369.824,1,wall
36,1776635369.857,1,wall
36,1776635369.89,1,wall
36,1776635369.923,1,wall
36,1776635369.957,1,wall
36,1776635369.991,1,wall
36,1776635370.024,1,wall
36,1776635370.123,1,wall
36,1776635370.173,1,wall
36,1776635370.224,1,wall
36,1776635370.953,1,wall
36,1776635372.179,1,wall
36,1776635372.262,1,wall
36,1776635372.311,1,wall
36,1776635372.344,1,wall
36,1776635372.41,1,wall
36,1776635372.46,1,wall
36,1776635373.36,1,wall
36,1776635373.445,1,wall
36,1776635373.494,1,wall
36,1776635373.795,1,wall
36,1776635373.828,1,wall
36,1776635373.861,1,wall
36,1776635373.894,1,wall
36,1776635373.927,1,wall
36,1776635374.381,1,wall
36,1776635374.977,1,wall
36,1776635375.178,1,wall
36,1776635375.227,1,wall
36,1776635375.26,1,wall
36,1776635376.78,1,wall
36,1776635377.13,1,wall
36,1776635378.289,1,wall
36,1776635378.372,1,wall
36,1776635378.471,1,wall
36,1776635378.504,1,wall
36,1776635378.537,1,wall
36,1776635378.57,1,wall
36,1776635378.603,1,wall
36,1776635378.654,1,wall
36,1776635378.738,1,wall
36,1776635378.771,1,wall
36,1776635378.804,1,wall
36,1776635378.838,1,wall
36,1776635378.904,1,wall
36,1776635379.037,1,wall
36,1776635379.787,1,wall
36,1776635379.886,1,wall
36,1776635380.137,1,wall
36,1776635380.237,1,wall
36,1776635380.355,1,wall
36,1776635380.522,1,wall
36,1776635380.588,1,wall
36,1776635380.639,1,wall
36,1776635380.688,1,wall
36,1776635380.738,1,wall
36,1776635380.788,1,wall
36,1776635380.888,1,wall
36,1776635380.921,1,wall
36,1776635381.523,1,wall
36,1776635381.556,1,wall
36,1776635381.622,1,wall
36,1776635381.671,1,wall
36,1776635382.377,1,wall
36,1776635382.493,1,wall
36,1776635382.575,1,wall
36,1776635383.057,1,wall
36,1776635383.123,1,wall
36,1776635383.173,1,wall
36,1776635383.304,1,wall
36,1776635383.922,1,obstacle
36,1776635384.171,1,wall
36,1776635384.206,1,obstacle
36,1776635384.222,1,wall
36,1776635384.288,1,wall
36,1776635384.373,1,wall
36,1776635384.472,1,wall
36,1776635384.521,1,wall
36,1776635384.606,1,wall
36,1776635384.689,1,wall
36,1776635384.993,1,wall
36,1776635385.059,1,wall
36,1776635385.293,1,wall
36,1776635385.326,1,wall
36,1776635385.359,1,wall
36,1776635385.525,1,wall
36,1776635385.558,1,wall
36,1776635385.758,1,wall
36,1776635386.791,1,wall
36,1776635387.209,1,wall
36,1776635387.259,1,wall
36,1776635388.277,1,wall
36,1776635388.459,1,wall
36,1776635388.91,1,wall
36,1776635389.108,1,wall
36,1776635389.994,2,wall
36,1776635390.061,2,wall
36,1776635390.193,2,wall
36,1776635390.31,2,wall
36,1776635391.478,2,wall
36,1776635392.077,2,wall
36,1776635392.16,2,wall
36,1776635392.261,2,wall
36,1776635392.293,2,wall
36,1776635392.327,2,wall
36,1776635392.36,2,wall
36,1776635392.444,2,wall
36,1776635392.527,2,wall
36,1776635392.594,2,wall
36,1776635392.677,2,wall
36,1776635392.744,2,wall
36,1776635392.81,2,wall
36,1776635392.86,2,wall
36,1776635392.926,2,wall
36,1776635392.992,2,wall
36,1776635393.091,2,wall
36,1776635393.257,2,wall
36,1776635395.21,2,wall
36,1776635395.259,2,wall
36,1776635395.826,2,wall
36,1776635395.875,2,wall
36,1776635395.942,2,wall
36,1776635396.373,2,wall
36,1776635396.538,2,wall
36,1776635397.894,2,wall
36,1776635397.927,2,wall
36,1776635398.061,2,wall
36,1776635398.112,2,wall
36,1776635398.162,2,wall
36,1776635398.212,2,wall
36,1776635398.713,2,wall
36,1776635398.763,2,wall
36,1776635398.812,2,wall
36,1776635398.895,2,wall
36,1776635398.995,2,wall
36,1776635399.232,2,wall
36,1776635399.298,2,wall
36,1776635399.915,2,wall
36,1776635399.981,2,wall
36,1776635400.15,2,wall
36,1776635400.25,2,wall
36,1776635401.99,2,wall
36,1776635403.906,2,wall
36,1776635404.007,2,wall
36,1776635404.092,2,wall
36,1776635404.177,2,wall
36,1776635404.278,2,wall
36,1776635404.312,2,wall
36,1776635404.378,2,wall
36,1776635404.461,2,wall
36,1776635404.512,2,wall
36,1776635404.563,2,wall
36,1776635404.663,2,wall
36,1776635404.696,2,wall
36,1776635406.045,2,wall
36,1776635406.112,2,wall
36,1776635406.296,2,wall
36,1776635406.362,2,wall
36,1776635406.461,2,wall
36,1776635406.544,2,wall
36,1776635406.644,2,wall
36,1776635406.727,2,wall
36,1776635406.777,2,wall
36,1776635406.826,2,wall
36,1776635406.876,2,wall
36,1776635406.909,2,wall
36,1776635406.959,2,wall
36,1776635407.008,2,wall
36,1776635407.091,2,wall
36,1776635407.142,2,wall
36,1776635407.224,2,wall
36,1776635407.29,2,wall
36,1776635407.323,2,wall
36,1776635407.356,2,wall
36,1776635407.391,2,wall
36,1776635407.44,2,wall
36,1776635407.539,2,wall
36,1776635407.572,2,wall
36,1776635407.64,2,wall
