race_id,timestamp,gap_progress
67,1778237007.519,0.0
67,1778237007.733,0.0
67,1778237007.933,0.0
67,1778237008.147,0.0
67,1778237008.348,0.0
67,1778237008.548,0.0
67,1778237008.75,0.0
67,1778237008.967,2.0
67,1778237009.169,2.0
67,1778237009.37,3.0
67,1778237009.57,2.0
67,1778237009.772,2.0
67,1778237009.974,2.0
67,1778237010.189,2.0
67,1778237010.405,1.0
67,1778237010.623,1.0
67,1778237010.823,1.0
67,1778237011.04,1.0
67,1778237011.255,0.0
67,1778237011.456,0.0
67,1778237011.658,1.0
67,1778237011.874,1.0
67,1778237012.074,1.0
67,1778237012.275,1.0
67,1778237012.476,1.0
67,1778237012.678,1.0
67,1778237012.895,0.0
67,1778237013.096,0.0
67,1778237013.297,0.0
67,1778237013.499,0.0
67,1778237013.714,0.0
67,1778237013.929,0.0
67,1778237014.13,0.0
67,1778237014.334,0.0
67,1778237014.55,0.0
67,1778237014.766,0.0
67,1778237014.983,0.0
67,1778237015.183,0.0
67,1778237015.384,0.0
67,1778237015.6,0.0
67,1778237015.803,0.0
67,1778237016.017,0.0
67,1778237016.233,0.0
67,1778237016.449,0.0
67,1778237016.663,0.0
67,1778237016.864,0.0
67,1778237017.065,0.0
67,1778237017.268,0.0
67,1778237017.484,0.0
67,1778237017.685,0.0
67,1778237017.885,0.0
67,1778237018.101,0.0
67,1778237018.302,0.0
67,1778237018.518,0.0
67,1778237018.734,0.0
67,1778237018.936,0.0
67,1778237019.136,2.0
67,1778237019.35,0.0
67,1778237019.551,0.0
67,1778237019.767,0.0
67,1778237019.97,0.0
67,1778237020.173,0.0
67,1778237020.376,0.0
67,1778237020.576,0.0
67,1778237020.778,0.0
67,1778237020.979,0.0
67,1778237021.182,0.0
67,1778237021.383,0.0
67,1778237021.584,0.0
67,1778237021.784,0.0
67,1778237021.984,0.0
67,1778237022.2,0.0
67,1778237022.401,0.0
67,1778237022.616,0.0
67,1778237022.833,0.0
67,1778237023.049,0.0
67,1778237023.267,1.0
67,1778237023.482,0.0
67,1778237023.685,0.0
67,1778237023.886,0.0
67,1778237024.102,0.0
67,1778237024.318,0.0
67,1778237024.518,0.0
67,1778237024.718,0.0
67,1778237024.92,0.0
67,1778237025.135,0.0
67,1778237025.336,0.0
67,1778237025.538,0.0
67,1778237025.754,0.0
67,1778237025.956,0.0
67,1778237026.157,0.0
67,1778237026.359,0.0
67,1778237026.576,0.0
67,1778237026.791,0.0
67,1778237026.991,0.0
67,1778237027.207,0.0
